name,type,neighborhood,latitude,longitude
Able Long Park,Park,Beechview,40.4081182,-80.02819656
Albert Turk Graham Park,Park,Crawford-Roberts,40.44050716,-79.98401757
Alcoa Park,Park,North Shore,40.44748073,-80.00101726
Allegheny Commons,Park,Allegheny Center,40.4531264,-80.00915763
Allegheny Landing Park,Park,North Shore,40.44718412,-80.0029073
Allegheny Riverfront Park,Park,Central Business District,40.44459085,-80.00241592
Alpine Gardens Park,Park,Central Northside,40.45767271,-80.01285151
Alton Park,Park,Beechview,40.41458018,-80.02185513
Amber Triangle,Traffic Island/Median,East Liberty,40.45909858,-79.93184578
Ammon Park,Park,Bedford Dwellings,40.44952617,-79.97824652
Arlington Park,Park,South Side Slopes,40.41828271,-79.97505009
Arlington Gym,Building Grounds,South Side Slopes,40.41924143,-79.97507643
Armstrong Park,Park,South Side Flats,40.42805587,-79.98584204
Arsenal Park,Park,Lower Lawrenceville,40.46669649,-79.96122939
August Wilson Park,Park,Crawford-Roberts,40.44677876,-79.98560194
Banksville Park,Park,Banksville,40.4142949,-80.03876036
Banksville School Park,Park,Banksville,40.40718069,-80.03768851
Bates St Triangle,Traffic Island/Median,South Oakland,40.43482121,-79.95627021
Baum Negley Triangle,Traffic Island/Median,East Liberty,40.45865622,-79.93336921
Baxter Park,Park,Homewood North,40.45608163,-79.88919674
Bedford Strip,Traffic Island/Median,Central Business District,40.4433947,-79.98964656
Beechview Monument,Monument/Memorial,Beechview,40.40364498,-80.03017292
Beechview Healthy Active Living Center Park,Park,Beechview,40.41072063,-80.02436175
Blair Street Park,Park,Hazelwood,40.40397355,-79.94567238
Bon Air Park,Park,Bon Air,40.4075222,-79.99999487
Boundary Street Park,Park,Central Oakland,40.43852827,-79.95058888
Brighton Heights Park,Park,Brighton Heights,40.4855996,-80.02960586
Brighton Heights Healthy Active Living Center,Building Grounds,Brighton Heights,40.47929821,-80.03576122
Brookline Memorial Park,Park,Brookline,40.39004596,-80.00451498
Brookline Monument,Monument/Memorial,Brookline,40.39173824,-80.01711444
